SiteCode,Year,SpeciesCode,ReportItem,ReportItemName,Annual
BG1,2014,NO2,0,Nitrogen Dioxide,-999
BG1,2014,NO2,1,Data capture rate (%):,88
BG1,2014,NO2,2,Hourly max (ug/m3):,229.1
BG1,2014,NO2,3,Low days:,317
BG1,2014,NO2,4,Moderate days:,1
BG1,2014,NO2,5,High days:,0
BG1,2014,NO2,6,Very High days:,0
BG1,2014,NO2,7,Mean: (AQS Objective < 40ug/m3),25
BG1,2014,NO2,7,Annual data capture rate (%):,88
BG1,2014,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),1
BG1,2014,SO2,0,Sulphur Dioxide,-999
BG1,2014,SO2,1,Data capture rate (%):,85
BG1,2014,SO2,2,15min max (ug/m3):,75.4
BG1,2014,SO2,3,Low days:,299
BG1,2014,SO2,4,Moderate days:,0
BG1,2014,SO2,5,High days:,0
BG1,2014,SO2,6,Very High days:,0
BG1,2014,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2014,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2014,SO2,7,Annual data capture rate (%):,85
BG1,2014,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2015,NO2,0,Nitrogen Dioxide,-999
BG1,2015,NO2,1,Data capture rate (%):,93
BG1,2015,NO2,2,Hourly max (ug/m3):,112.9
BG1,2015,NO2,3,Low days:,352
BG1,2015,NO2,4,Moderate days:,0
BG1,2015,NO2,5,High days:,0
BG1,2015,NO2,6,Very High days:,0
BG1,2015,NO2,7,Mean: (AQS Objective < 40ug/m3),20
BG1,2015,NO2,7,Annual data capture rate (%):,93
BG1,2015,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2015,SO2,0,Sulphur Dioxide,-999
BG1,2015,SO2,1,Data capture rate (%):,99
BG1,2015,SO2,2,15min max (ug/m3):,14.5
BG1,2015,SO2,3,Low days:,363
BG1,2015,SO2,4,Moderate days:,0
BG1,2015,SO2,5,High days:,0
BG1,2015,SO2,6,Very High days:,0
BG1,2015,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2015,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2015,SO2,7,Annual data capture rate (%):,99
BG1,2015,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2016,NO2,0,Nitrogen Dioxide,-999
BG1,2016,NO2,1,Data capture rate (%):,81
BG1,2016,NO2,2,Hourly max (ug/m3):,176
BG1,2016,NO2,3,Low days:,310
BG1,2016,NO2,4,Moderate days:,0
BG1,2016,NO2,5,High days:,0
BG1,2016,NO2,6,Very High days:,0
BG1,2016,NO2,7,Mean: (AQS Objective < 40ug/m3),21
BG1,2016,NO2,7,Annual data capture rate (%):,81
BG1,2016,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2016,SO2,0,Sulphur Dioxide,-999
BG1,2016,SO2,1,Data capture rate (%):,100
BG1,2016,SO2,2,15min max (ug/m3):,24.6
BG1,2016,SO2,3,Low days:,366
BG1,2016,SO2,4,Moderate days:,0
BG1,2016,SO2,5,High days:,0
BG1,2016,SO2,6,Very High days:,0
BG1,2016,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2016,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2016,SO2,7,Annual data capture rate (%):,100
BG1,2016,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2017,NO2,0,Nitrogen Dioxide,-999
BG1,2017,NO2,1,Data capture rate (%):,93
BG1,2017,NO2,2,Hourly max (ug/m3):,130.4
BG1,2017,NO2,3,Low days:,358
BG1,2017,NO2,4,Moderate days:,0
BG1,2017,NO2,5,High days:,0
BG1,2017,NO2,6,Very High days:,0
BG1,2017,NO2,7,Mean: (AQS Objective < 40ug/m3),24
BG1,2017,NO2,7,Annual data capture rate (%):,93
BG1,2017,NO2,7,Occurences of hourly mean >200ug/m3: (AQS Objective <= 18),0
BG1,2017,SO2,0,Sulphur Dioxide,-999
BG1,2017,SO2,1,Data capture rate (%):,91
BG1,2017,SO2,2,15min max (ug/m3):,14.8
BG1,2017,SO2,3,Low days:,333
BG1,2017,SO2,4,Moderate days:,0
BG1,2017,SO2,5,High days:,0
BG1,2017,SO2,6,Very High days:,0
BG1,2017,SO2,7,Occurences of 15min mean >267ug/m3: (AQS Objective <= 35),0
BG1,2017,SO2,7,Occurences of hourly mean >350ug/m3: (AQS Objective <= 24),0
BG1,2017,SO2,7,Annual data capture rate (%):,91
BG1,2017,SO2,7,Days where daily mean >125ug/m3: (AQS Objective <= 3),0
BG1,2018,NO2,0,Nitrogen Dioxide,-999
BG1,2018,NO2,1,Data capture rate (%):,41
BG1,2018,NO2,2,Hourly max (ug/m3):,105.5
BG1,2018,NO2,3,Low days:,152
BG1,2018,NO2,4,Moderate days:,0
BG1,2018,NO2,5,High days:,0
BG1,2018,NO2,6,Very High days:,0
