SiteCode,SiteName
A30,Kingston - Kingston Bypass A3
BG1,Barking and Dagenham - Rush Green
BG2,Barking and Dagenham - Scrattons Farm
BG3,Barking and Dagenham - North Street
BL0,Camden - Bloomsbury
BN1,Barnet - Tally Ho Corner
BN2,Barnet - Finchley
BN3,Barnet - Strawberry Vale 
BP0,Westminster - Bridge Place
BQ5,Bexley - Manor Road West Gravimetric
BQ6,Bexley - Manor Road East Gravimetric
BQ7,Bexley - Belvedere West
BQ8,Bexley - Belvedere West FDMS
BQ9,Bexley - Slade Green FIDAS
BT1,Brent - Kingsbury
BT2,Brent - Ikea Car Park
BT3,Brent - Harlesden
BT4,Brent - Ikea
BT5,Brent - Neasden Lane
BT6,Brent - John Keble Primary School
BT7,Brent - St Marys Primary School
BT8,Brent - ARK Franklin Primary Academy
BX0,Bexley - Belvedere FDMS
BX1,Bexley - Slade Green
BX2,Bexley - Belvedere
BX3,Bexley - Thamesmead
BX4,Bexley - Erith
BX5,Bexley - Bedonwell 
BX6,Bexley - Thames Road North FDMS
BX7,Bexley - Thames Road North
BX8,Bexley - Thames Road South
BX9,Bexley - Slade Green FDMS
BY1,Bromley - Rent Office
BY4,Bromley - Tweedy Rd
BY5,Bromley - Biggin Hill
BY7,Bromley - Harwood Avenue
CD1,Camden - Swiss Cottage
CD3,Camden - Shaftesbury Avenue
CD4,Camden - St Martins College (NOX 1)
CD5,Camden - St Martins College (NOX 2)
CD9,Camden - Euston Road
CE1,Regent Street facade (The Crown Estate)
CE2,Waterloo Place (The Crown Estate)
CE3,Regent Street (The Crown Estate)
CR2,Croydon - Purley Way
CR3,Croydon - Thornton Heath
CR4,Croydon - George Street
CR5,Croydon - Norbury
CR6,Croydon - Euston Road
CR7,Croydon - Purley Way A23
CR8,Croydon - Norbury Manor
CR9,Croydon - Park Lane
CT1,City of London - Senator House
CT2,City of London - Farringdon Street
CT3,City of London - The Aldgate School
CT4,City of London - Beech Street
CT6,City of London - Walbrook Wharf
CT8,City of London - Upper Thames Street
CT9,City of London - Guildhall
CTA,City of London - Bell Wharf Lane
CW3,Tower Hamlets - Jubilee Park 
CY1,Crystal Palace - Crystal Palace Parade
EA0,Ealing - Acton Town Hall FDMS
EA1,Ealing - Ealing Town Hall
EA2,Ealing - Acton Town Hall
EA6,Ealing - Hanger Lane Gyratory
EA7,Ealing - Southall
EA8,Ealing - Horn Lane
EA9,Ealing - Court Way
EI0,Ealing - Greenford
EI1,Ealing - Western Avenue
EI2,Ealing - Southall Railway
EI3,Ealing - Acton Vale 
EI7,Ealing - Southall FDMS
EI8,Ealing - Horn Lane TEOM
EN1,Enfield - Bush Hill Park
EN2,Enfield - Church Street
EN3,Enfield - Salisbury School
EN4,Enfield - Derby Road
EN5,Enfield - Bowes Primary School
EN7,Enfield - Prince of Wales School
GB0,Greenwich - Falconwood FDMS
GB6,Greenwich - Falconwood
GN0,Greenwich - A206 Burrage Grove
GN2,Greenwich - Millennium Village
GN3,Greenwich - Plumstead High Street
GN4,Greenwich - Fiveways Sidcup Rd A20
GN5,Greenwich - Trafalgar Road (Hoskins St)
GN6,Greenwich - John Harrison Way
GR4,Greenwich - Eltham
GR5,Greenwich - Trafalgar Road
GR7,Greenwich - Blackheath
GR8,Greenwich - Woolwich Flyover
GR9,Greenwich - Westhorne Avenue
GV1,Westminster - Ebury Street (Grosvenor)
GV2,Westminster - Duke Street (Grosvenor)
HF1,Hammersmith and Fulham - Broadway
HF2,Hammersmith and Fulham - Brook Green
HF3,Hammersmith and Fulham - Scrubs Lane
HF4,Hammersmith and Fulham - Shepherds Bush
HG1,Haringey - Haringey Town Hall
HG2,Haringey - Priory Park
HG3,Haringey - Bounds Green
HG4,Haringey  - Priory Park South
HI0,Hillingdon - Keats Way
HI1,Hillingdon - South Ruislip
HI2,Hillingdon - Hillingdon Hospital
HI3,Hillingdon - Oxford Avenue
HK4,Hackney - Clapton
HK6,Hackney - Old Street
HK9,Hackney - Queensbridge Road
HN0,Hackney - Amhurst Road
HN1,Hackney - Homerton Library
HP1,Lewisham - Honor Oak Park
HR1,Harrow - Stanmore
HR2,Harrow - Pinner Road
HS1,Hounslow - Brentford
HS2,Hounslow - Cranford
