Local Authority,ONS Area Code,Road Name,2019,2020 [Note 6],2021 [Note 6],"2022 [Notes 6, 8]"
Barking and Dagenham,E09000002,A1083,10.8r,12.3r,11.6r,11.3r
Barking and Dagenham,E09000002,A1112,12.3r,13.4r,12.8r,12.0r
Barking and Dagenham,E09000002,A1153,14.2r,15.2r,13.9r,13.4r
Barking and Dagenham,E09000002,A118,10.7r,11.0r,10.7r,10.6r
Barking and Dagenham,E09000002,A123,10.6r,11.2r,10.9r,10.6r
Barking and Dagenham,E09000002,A124,11.4r,12.6r,12.2r,11.6r
Barking and Dagenham,E09000002,A1240,11.2r,12.3r,11.9r,11.0r
Barking and Dagenham,E09000002,A13,27.0r,27.1r,26.3r,26.6r
Barking and Dagenham,E09000002,A1306,14.5r,15.6r,15.0r,13.9r
Barnet,E09000003,A1,23.7r,26.8r,25.7r,23.7r
Barnet,E09000003,A1000,14.4r,15.5r,13.3r,13.2r
Barnet,E09000003,A1003,12.3r,13.3r,12.3r,11.8r
Barnet,E09000003,A109,14.8r,15.9r,15.7r,15.3r
Barnet,E09000003,A110,15.1r,15.9r,11.9r,11.1r
Barnet,E09000003,A406,20.4r,19.9r,19.8r,19.9r
Barnet,E09000003,A407,8.6r,9.5r,10.1r,10.1r
Barnet,E09000003,A41,20.2r,21.5r,20.6r,20.0r
Barnet,E09000003,A411,16.1r,18.4r,12.0r,11.3r
Barnet,E09000003,A5,13.8r,13.5r,14.0r,12.7r
Barnet,E09000003,A502,11.3r,12.1r,11.3r,11.1r
Barnet,E09000003,A504,13.8r,15.1r,14.6r,14.6r
Barnet,E09000003,A5100,11.6r,12.9r,12.0r,11.3r
Barnet,E09000003,A5109,18.0r,19.9r,19.3r,18.1r
Barnet,E09000003,A5150,18.0r,18.5r,18.1r,17.8r
Barnet,E09000003,A598,11.9r,12.7r,12.2r,12.4r
Bexley,E09000004,A2,39.5r,42.0r,39.8r,40.8r
Bexley,E09000004,A20,36.5r,39.0r,38.1r,38.0r
Bexley,E09000004,A2000,17.2r,17.9r,17.4r,16.9r
Bexley,E09000004,A2016,34.6r,34.6r,33.9r,36.4r
Bexley,E09000004,A2018,20.8r,20.9r,14.7r,14.7r
Bexley,E09000004,A2041,11.9r,13.5r,13.0r,13.5r
Bexley,E09000004,A206,16.1r,16.5r,16.0r,15.5r
Bexley,E09000004,A207,11.0r,12.2r,11.9r,11.7r
Bexley,E09000004,A209,13.9r,14.2r,13.8r,13.9r
Bexley,E09000004,A210,11.7r,13.0r,12.6r,13.0r
Bexley,E09000004,A211,12.5r,13.4r,13.2r,12.5r
Bexley,E09000004,A220,11.9r,12.7r,12.3r,12.4r
Bexley,E09000004,A221,16.6r,17.9r,17.2r,16.5r
Bexley,E09000004,A222,10.2r,11.5r,12.5r,11.1r
Bexley,E09000004,A223,21.5r,23.1r,22.5r,21.7r
Brent,E09000005,A4003,11.4r,12.3r,11.9r,11.8r
Brent,E09000005,A4005,16.0r,17.8r,16.7r,16.4r
Brent,E09000005,A4006,13.2r,14.7r,14.0r,13.5r
Brent,E09000005,A404,13.5r,14.0r,13.9r,13.6r
Brent,E09000005,A406,23.2r,24.9r,24.0r,23.8r
Brent,E09000005,A407,11.1r,11.6r,11.0r,10.9r
Brent,E09000005,A4088,12.0r,12.4r,11.8r,12.2r
Brent,E09000005,A4089,9.0r,10.7r,10.2r,9.7r
Brent,E09000005,A4140,20.5r,22.3r,19.5r,19.0r
Brent,E09000005,A5,10.6r,11.0r,11.0r,10.7r
Bromley,E09000006,A20,46.9r,48.9r,48.1r,48.7r
Bromley,E09000006,A2015,15.1r,14.0r,11.6r,11.4r
Bromley,E09000006,A2022,18.8r,20.5r,19.5r,18.4r
Bromley,E09000006,A208,16.1r,17.5r,15.9r,16.0r
Bromley,E09000006,A21,17.2r,18.5r,17.4r,17.6r
Bromley,E09000006,A213,12.9r,12.0r,11.9r,11.8r
Bromley,E09000006,A214,12.7r,13.5r,12.7r,12.4r
Bromley,E09000006,A2212,13.1r,13.9r,13.9r,13.3r
Bromley,E09000006,A222,12.3r,13.7r,13.0r,12.6r
Bromley,E09000006,A223,12.0r,13.6r,12.8r,12.4r
Bromley,E09000006,A224,17.2r,18.8r,16.2r,17.0r
Bromley,E09000006,A232,13.2r,14.5r,13.8r,13.7r
Bromley,E09000006,A233,20.1r,21.6r,20.9r,20.4r
Bromley,E09000006,A234,10.4r,11.1r,10.7r,10.4r
Camden,E09000007,A400,7.5r,8.2r,7.2r,7.0r
Camden,E09000007,A41,11.9r,12.3r,11.7r,11.8r
